"","hour","wday","N","Acorn_group","stdorToU"
"351",2,"Sun",179.92817390346,"Affluent","Std"
"352",2,"Mon",171.902193079127,"Affluent","Std"
"353",2,"Tue",172.248797102233,"Affluent","Std"
"354",2,"Wed",168.761020498127,"Affluent","Std"
"355",2,"Thu",169.971429358607,"Affluent","Std"
"356",2,"Fri",173.24782345162,"Affluent","Std"
"357",2,"Sat",177.26217765043,"Affluent","Std"
"358",3,"Sun",158.534990081552,"Affluent","Std"
"359",3,"Mon",154.121831606789,"Affluent","Std"
"360",3,"Tue",154.355436016651,"Affluent","Std"
"361",3,"Wed",151.824195503637,"Affluent","Std"
"362",3,"Thu",153.850424289178,"Affluent","Std"
"363",3,"Fri",155.034466607891,"Affluent","Std"
"364",3,"Sat",157.529094115054,"Affluent","Std"
"365",4,"Sun",153.031491073397,"Affluent","Std"
"366",4,"Mon",151.250137756227,"Affluent","Std"
"367",4,"Tue",152.855544142293,"Affluent","Std"
"368",4,"Wed",152.173545294247,"Affluent","Std"
"369",4,"Thu",153.631694952612,"Affluent","Std"
"370",4,"Fri",153.353620233635,"Affluent","Std"
"371",4,"Sat",152.484653956359,"Affluent","Std"
"372",5,"Sun",158.474680405554,"Affluent","Std"
"373",5,"Mon",166.769010359268,"Affluent","Std"
"374",5,"Tue",171.114883494621,"Affluent","Std"
"375",5,"Wed",170.136185805598,"Affluent","Std"
"376",5,"Thu",169.82317610756,"Affluent","Std"
"377",5,"Fri",170.155747189773,"Affluent","Std"
"378",5,"Sat",159.559262728675,"Affluent","Std"
"379",6,"Sun",176.750991844831,"Affluent","Std"
"380",6,"Mon",213.521131805158,"Affluent","Std"
"381",6,"Tue",220.355814456398,"Affluent","Std"
"382",6,"Wed",220.208425170818,"Affluent","Std"
"383",6,"Thu",221.845933436191,"Affluent","Std"
"384",6,"Fri",219.952942473,"Affluent","Std"
"385",6,"Sat",185.738125413269,"Affluent","Std"
"386",7,"Sun",194.725038571743,"Affluent","Std"
"387",7,"Mon",243.398363456028,"Affluent","Std"
"388",7,"Tue",248.749581013137,"Affluent","Std"
"389",7,"Wed",252.499228565131,"Affluent","Std"
"390",7,"Thu",252.322046506502,"Affluent","Std"
"391",7,"Fri",250.50611637646,"Affluent","Std"
"392",7,"Sat",207.511957240467,"Affluent","Std"
"393",8,"Sun",236.440461758871,"Affluent","Std"
"394",8,"Mon",261.175666740137,"Affluent","Std"
"395",8,"Tue",257.444288262962,"Affluent","Std"
"396",8,"Wed",263.924592241569,"Affluent","Std"
"397",8,"Thu",262.12764491955,"Affluent","Std"
"398",8,"Fri",266.65288186026,"Affluent","Std"
"399",8,"Sat",248.231513114393,"Affluent","Std"
"400",9,"Sun",271.025787965616,"Affluent","Std"
"401",9,"Mon",253.424041216663,"Affluent","Std"
"402",9,"Tue",249.166810834189,"Affluent","Std"
"403",9,"Wed",251.155113511131,"Affluent","Std"
"404",9,"Thu",252.973109984571,"Affluent","Std"
"405",9,"Fri",258.284301300419,"Affluent","Std"
"406",9,"Sat",270.400622658144,"Affluent","Std"
"407",10,"Sun",280.802760634781,"Affluent","Std"
"408",10,"Mon",249.402854309015,"Affluent","Std"
"409",10,"Tue",244.060036762718,"Affluent","Std"
"410",10,"Wed",240.97164976857,"Affluent","Std"
"411",10,"Thu",243.47299977959,"Affluent","Std"
"412",10,"Fri",253.437403570641,"Affluent","Std"
"413",10,"Sat",274.372520387922,"Affluent","Std"
"414",11,"Sun",284.399327749614,"Affluent","Std"
"415",11,"Mon",251.283309455587,"Affluent","Std"
"416",11,"Tue",241.827701789479,"Affluent","Std"
"417",11,"Wed",234.640346043641,"Affluent","Std"
"418",11,"Thu",238.100231430461,"Affluent","Std"
"419",11,"Fri",250.020112409081,"Affluent","Std"
"420",11,"Sat",273.392329733304,"Affluent","Std"
"421",12,"Sun",292.006722503857,"Affluent","Std"
"422",12,"Mon",251.060888252149,"Affluent","Std"
"423",12,"Tue",239.479861599178,"Affluent","Std"
"424",12,"Wed",235.434675997355,"Affluent","Std"
"425",12,"Thu",238.530609433546,"Affluent","Std"
"426",12,"Fri",248.050969803835,"Affluent","Std"
"427",12,"Sat",273.512480714128,"Affluent","Std"
"428",13,"Sun",288.995977518184,"Affluent","Std"
"429",13,"Mon",244.153240026449,"Affluent","Std"
"430",13,"Tue",239.548088879278,"Affluent","Std"
"431",13,"Wed",232.807582102711,"Affluent","Std"
"432",13,"Thu",235.215946660789,"Affluent","Std"
"433",13,"Fri",244.04182279039,"Affluent","Std"
"434",13,"Sat",270.286946219969,"Affluent","Std"
"435",14,"Sun",281.438092351774,"Affluent","Std"
"436",14,"Mon",239.314221952832,"Affluent","Std"
"437",14,"Tue",231.437476347516,"Affluent","Std"
"438",14,"Wed",226.175914701345,"Affluent","Std"
"439",14,"Thu",226.945944456689,"Affluent","Std"
"440",14,"Fri",238.461951730218,"Affluent","Std"
"441",14,"Sat",260.967269120564,"Affluent","Std"
"442",15,"Sun",285.341167070752,"Affluent","Std"
"443",15,"Mon",243.558133127617,"Affluent","Std"
"444",15,"Tue",239.097069795102,"Affluent","Std"
"445",15,"Wed",228.747327529204,"Affluent","Std"
"446",15,"Thu",234.058656601278,"Affluent","Std"
"447",15,"Fri",243.68205862905,"Affluent","Std"
"448",15,"Sat",265.945724046727,"Affluent","Std"
"449",16,"Sun",309.713467048711,"Affluent","Std"
"450",16,"Mon",266.642219528323,"Affluent","Std"
"451",16,"Tue",263.292182516084,"Affluent","Std"
"452",16,"Wed",251.676162662552,"Affluent","Std"
"453",16,"Thu",255.902689001543,"Affluent","Std"
"454",16,"Fri",264.128030636985,"Affluent","Std"
"455",16,"Sat",287.981650870619,"Affluent","Std"
"456",17,"Sun",353.977903901256,"Affluent","Std"
"457",17,"Mon",316.412249283668,"Affluent","Std"
"458",17,"Tue",308.60723360545,"Affluent","Std"
"459",17,"Wed",301.063009698038,"Affluent","Std"
"460",17,"Thu",305.135910293145,"Affluent","Std"
"461",17,"Fri",310.804937183161,"Affluent","Std"
"462",17,"Sat",331.330973109985,"Affluent","Std"
"463",18,"Sun",396.300418778929,"Affluent","Std"
"464",18,"Mon",373.345382411285,"Affluent","Std"
"465",18,"Tue",361.154998107801,"Affluent","Std"
"466",18,"Wed",361.361610094776,"Affluent","Std"
"467",18,"Thu",354.804386158254,"Affluent","Std"
"468",18,"Fri",358.275870619352,"Affluent","Std"
"469",18,"Sat",373.557223936522,"Affluent","Std"
"470",19,"Sun",413.784080890456,"Affluent","Std"
"471",19,"Mon",402.987601939608,"Affluent","Std"
"472",19,"Tue",392.469292317673,"Affluent","Std"
"473",19,"Wed",392.810282124752,"Affluent","Std"
"474",19,"Thu",384.000192858717,"Affluent","Std"
"475",19,"Fri",374.392605245757,"Affluent","Std"
"476",19,"Sat",386.435640290941,"Affluent","Std"
"477",20,"Sun",402.450903680846,"Affluent","Std"
"478",20,"Mon",403.270222614062,"Affluent","Std"
"479",20,"Tue",400.489403687084,"Affluent","Std"
"480",20,"Wed",400.328906766586,"Affluent","Std"
"481",20,"Thu",389.753416354419,"Affluent","Std"
"482",20,"Fri",372.619792814635,"Affluent","Std"
"483",20,"Sat",371.146655278819,"Affluent","Std"
"484",21,"Sun",374.787331937404,"Affluent","Std"
"485",21,"Mon",378.205063918889,"Affluent","Std"
"486",21,"Tue",378.923392982646,"Affluent","Std"
"487",21,"Wed",378.478757989861,"Affluent","Std"
"488",21,"Thu",374.002810227022,"Affluent","Std"
"489",21,"Fri",355.208011902138,"Affluent","Std"
"490",21,"Sat",350.610866211153,"Affluent","Std"
"491",22,"Sun",317.00570310778,"Affluent","Std"
"492",22,"Mon",322.283860480494,"Affluent","Std"
"493",22,"Tue",322.092014921339,"Affluent","Std"
"494",22,"Wed",324.627204099625,"Affluent","Std"
"495",22,"Thu",322.489392770553,"Affluent","Std"
